gen	best_preq_length	mean_preq_length	best_preq_length	best_preq_gain	best_id_baseline	sigma
226	4.998862	4.637582	4.998862	0.191298	0.548554	0.032212
227	8.129827	7.850625	8.129827	0.117583	1.441431	0.032051
228	8.032395	7.241378	8.032395	0.203854	0.835449	0.031891
229	7.858054	7.394801	7.858054	0.104870	1.568301	0.031731
230	3.618951	3.398561	3.618951	0.164771	0.461097	0.031572
231	8.040165	7.845954	8.040165	0.118500	1.423457	0.031415
232	6.551338	5.864527	6.551338	0.218805	0.640043	0.031258
233	6.253222	5.922408	6.253222	0.136828	0.958242	0.031101
234	7.949960	7.547924	7.949960	0.198882	0.856833	0.030946
235	6.249013	5.976174	6.249013	0.160562	0.818008	0.030791
236	9.874886	9.463705	9.874886	0.123808	1.657471	0.030637
237	7.513285	6.830064	7.513285	0.203945	0.787461	0.030484
238	8.323563	7.995579	8.323563	0.150953	1.153169	0.030331
239	6.169915	5.781102	6.169915	0.213040	0.614875	0.030180
240	7.122652	6.777305	7.122652	0.186671	0.803109	0.030029
241	5.368242	5.095724	5.368242	0.185693	0.608943	0.029879
242	5.841400	5.593468	5.841400	0.143733	0.854575	0.029729
243	9.941881	9.174742	9.941881	0.129610	1.601061	0.029581
244	6.304370	5.988930	6.304370	0.173709	0.761872	0.029433
245	9.738840	9.371519	9.738840	0.157940	1.296939	0.029286
246	7.476676	6.958719	7.476676	0.157482	0.997468	0.029139
247	9.600054	9.177479	9.600054	0.178794	1.131384	0.028994
248	3.648148	3.372328	3.648148	0.159048	0.479773	0.028849
249	7.453013	7.175731	7.453013	0.149603	1.035258	0.028704
250	6.962627	6.759877	6.962627	0.167394	0.862616	0.028561
251	8.003645	7.572124	8.003645	0.147055	1.146542	0.028418
252	5.549909	5.132011	5.549909	0.140157	0.834738	0.028276
253	8.149616	7.711686	8.149616	0.154359	1.100474	0.028135
254	10.309720	9.392046	10.309720	0.172330	1.256066	0.027994
255	6.870966	6.234852	6.870966	0.122142	1.171230	0.027854
256	7.458867	7.194983	7.458867	0.139716	1.109273	0.027715
257	6.493671	5.994773	6.493671	0.148285	0.926334	0.027576
258	7.246574	6.459381	7.246574	0.127115	1.179697	0.027438
259	8.284788	7.840822	8.284788	0.149896	1.157862	0.027301
260	10.135271	9.443894	10.135271	0.143220	1.476533	0.027164
261	8.256833	7.887738	8.256833	0.120065	1.434894	0.027029
262	6.701031	6.290333	6.701031	0.157559	0.887979	0.026893
263	6.987147	6.651734	6.987147	0.160152	0.916974	0.026759
264	7.909162	7.674657	7.909162	0.129913	1.271667	0.026625
265	5.666498	5.330122	5.666498	0.221851	0.544663	0.026492
266	9.359293	8.966892	9.359293	0.112591	1.728643	0.026360
267	9.685646	9.470074	9.685646	0.137793	1.471804	0.026228
268	4.826084	4.600436	4.826084	0.142067	0.720870	0.026097
269	7.653693	7.295033	7.653693	0.136078	1.177667	0.025966
270	8.698261	8.361324	8.698261	0.163834	1.120183	0.025836
271	4.297378	4.124308	4.297378	0.222802	0.417891	0.025707
272	9.627368	9.319276	9.627368	0.143848	1.407799	0.025579
273	6.792408	6.507356	6.792408	0.166585	0.863709	0.025451
274	7.194522	6.755610	7.194522	0.178718	0.844842	0.025324
275	7.360438	6.986279	7.360438	0.191440	0.810345	0.025197
276	10.111225	9.426620	10.111225	0.110821	1.900402	0.025071
277	6.754749	6.434378	6.754749	0.154923	0.924663	0.024946
278	8.141521	7.917281	8.141521	0.122074	1.388277	0.024821
279	6.442753	5.963948	6.442753	0.201815	0.682075	0.024697
280	7.915633	7.563623	7.915633	0.145126	1.137761	0.024573
281	5.125453	4.899542	5.125453	0.142478	0.756503	0.024450
282	10.628630	10.205856	10.628630	0.145970	1.524759	0.024328
283	9.038180	8.590624	9.038180	0.190415	0.994000	0.024206
284	6.578941	6.194152	6.578941	0.165193	0.833201	0.024085
285	9.115362	8.813015	9.115362	0.154620	1.229403	0.023965
286	8.478804	8.031930	8.478804	0.169693	1.045858	0.023845
287	8.429693	8.054653	8.429693	0.150592	1.175382	0.023726
288	7.651021	7.211576	7.651021	0.160161	1.012362	0.023607
289	9.178377	8.760573	9.178377	0.145153	1.317189	0.023489
290	11.013987	10.616168	11.013987	0.114939	1.983423	0.023372
291	8.031937	7.608857	8.031937	0.146910	1.140322	0.023255
292	8.704577	8.469313	8.704577	0.133103	1.372094	0.023139
293	10.236794	9.843744	10.236794	0.142166	1.511807	0.023023
294	6.996508	6.658034	6.996508	0.181287	0.823065	0.022908
295	8.724835	8.053864	8.724835	0.160602	1.149672	0.022793
296	4.572606	4.241577	4.572606	0.154538	0.625509	0.022679
297	8.843716	8.333925	8.843716	0.223281	0.836602	0.022566
298	6.362680	5.953685	6.362680	0.173742	0.764790	0.022453
299	6.125269	5.951002	6.125269	0.179762	0.711941	0.022341
300	4.504377	4.281432	4.504377	0.232112	0.413890	0.022229
301	5.754506	5.517604	5.754506	0.124067	0.967190	0.022118
302	5.416023	5.212046	5.416023	0.221611	0.525107	0.022007
303	4.261271	4.137577	4.261271	0.188069	0.473754	0.021897
304	8.692545	8.401192	8.692545	0.176900	1.037299	0.021788
305	5.972796	5.502027	5.972796	0.189347	0.660556	0.021679
306	9.817518	9.305694	9.817518	0.151740	1.367145	0.021571
307	5.275362	4.968898	5.275362	0.194160	0.573133	0.021463
308	6.141017	5.861546	6.141017	0.179289	0.727539	0.021355
309	8.441723	7.869815	8.441723	0.125879	1.410873	0.021249
310	5.511364	5.164132	5.511364	0.195446	0.591384	0.021142
311	8.689475	8.183849	8.689475	0.200354	0.929878	0.021037
312	5.361768	5.105773	5.361768	0.168607	0.662892	0.020932
313	7.202302	6.950845	7.202302	0.156946	0.957095	0.020827
314	8.259020	7.825722	8.259020	0.179130	0.971662	0.020723
315	6.253330	6.032010	6.253330	0.122522	1.066320	0.020619
316	6.717526	6.363045	6.717526	0.148003	0.946802	0.020516
317	8.408368	8.066537	8.408368	0.116471	1.512821	0.020413
318	5.190509	4.844915	5.190509	0.163366	0.663203	0.020311
319	4.572053	4.338157	4.572053	0.172454	0.566157	0.020210
320	6.230697	6.057311	6.230697	0.130929	1.000748	0.020109
321	12.619002	12.197213	12.619002	0.131496	1.999203	0.020008
322	7.393786	6.844262	7.393786	0.118321	1.293929	0.019908
323	5.478833	5.242799	5.478833	0.137459	0.828910	0.019809
324	9.767008	9.304790	9.767008	0.123125	1.642081	0.019710
325	5.566399	5.254137	5.566399	0.162853	0.723850	0.019611
326	10.067899	9.661728	10.067899	0.116754	1.789387	0.019513
327	8.824448	8.221102	8.824448	0.118511	1.533776	0.019415
328	8.047604	7.680818	8.047604	0.138676	1.224783	0.019318
329	11.534492	11.137837	11.534492	0.126827	1.891518	0.019222
330	5.689660	5.366928	5.689660	0.185203	0.655498	0.019126
331	4.502558	3.518314	4.502558	0.223554	0.431681	0.019030
332	11.629457	11.248469	11.629457	0.143770	1.694070	0.018935
333	8.231436	7.963965	8.231436	0.136216	1.257167	0.018840
334	8.256291	7.693126	8.256291	0.118321	1.441772	0.018746
335	7.686184	7.231336	7.686184	0.178501	0.910336	0.018652
336	5.903265	5.568026	5.903265	0.137000	0.911084	0.018559
337	6.653555	6.298840	6.653555	0.165070	0.845803	0.018466
338	9.457054	8.972361	9.457054	0.150510	1.309558	0.018374
339	8.722710	8.256977	8.722710	0.132468	1.383281	0.018282
340	5.536378	5.313077	5.536378	0.161386	0.725639	0.018191
341	5.657690	5.454962	5.657690	0.164274	0.719740	0.018100
342	7.046460	6.653832	7.046460	0.176137	0.841361	0.018009
343	4.945802	4.651088	4.945802	0.172335	0.609482	0.017919
344	9.984698	9.497910	9.984698	0.162806	1.286551	0.017830
345	6.476753	6.264246	6.476753	0.194021	0.703630	0.017740
346	7.928656	7.681581	7.928656	0.137007	1.214491	0.017652
347	6.419614	6.201401	6.419614	0.170201	0.797847	0.017563
348	6.273336	5.904543	6.273336	0.136900	0.955853	0.017476
349	10.188582	9.708311	10.188582	0.159013	1.348840	0.017388
350	8.609965	8.329403	8.609965	0.125574	1.430951	0.017301
351	12.724382	12.214278	12.724382	0.155353	1.734715	0.017215
352	6.739405	6.383770	6.739405	0.179853	0.776817	0.017129
353	4.393909	4.216893	4.393909	0.191092	0.486541	0.017043
354	7.795894	7.495480	7.795894	0.147152	1.107807	0.016958
355	8.311474	7.962968	8.311474	0.164725	1.067958	0.016873
356	6.086778	5.843660	6.086778	0.155445	0.824446	0.016789
357	5.446197	5.137094	5.446197	0.188511	0.617216	0.016705
358	6.125207	5.745621	6.125207	0.183671	0.709260	0.016621
359	8.272976	7.879524	8.272976	0.133256	1.283019	0.016538
360	11.939329	11.620857	11.939329	0.148164	1.689597	0.016455
361	6.163864	5.922742	6.163864	0.198181	0.651179	0.016373
362	4.817817	4.589446	4.817817	0.146988	0.688493	0.016291
363	11.349957	10.470890	11.349957	0.120734	1.951875	0.016210
364	10.134770	9.512022	10.134770	0.138591	1.537935	0.016129
365	6.290874	5.942484	6.290874	0.217960	0.613472	0.016048
366	9.571359	8.832436	9.571359	0.148348	1.360386	0.015968
367	7.984177	7.621806	7.984177	0.156218	1.066965	0.015888
368	11.060019	10.690100	11.060019	0.150610	1.549990	0.015809
369	4.625577	4.434648	4.625577	0.188671	0.520250	0.015730
370	6.383654	6.104052	6.383654	0.153068	0.869590	0.015651
371	5.664645	5.330293	5.664645	0.183251	0.652806	0.015573
372	4.591940	4.383919	4.591940	0.230601	0.430584	0.015495
373	9.877766	9.460932	9.877766	0.175574	1.180649	0.015417
374	5.536445	5.084730	5.536445	0.172139	0.674043	0.015340
375	5.702483	5.228486	5.702483	0.192518	0.621057	0.015264
376	11.141525	10.787481	11.141525	0.117522	1.973710	0.015187
377	6.886232	6.538021	6.886232	0.159436	0.912616	0.015111
378	7.764441	7.444322	7.764441	0.131370	1.219013	0.015036
379	7.943296	7.596691	7.943296	0.160516	1.046916	0.014961
380	8.724543	8.307880	8.724543	0.154547	1.192042	0.014886
381	6.735481	6.475115	6.735481	0.137870	1.028529	0.014811
382	7.831631	7.371850	7.831631	0.191493	0.867839	0.014737
383	7.199085	6.484935	7.199085	0.162575	0.930242	0.014664
384	5.837801	5.613925	5.837801	0.158847	0.771902	0.014590
385	8.777096	8.485394	8.777096	0.160620	1.147529	0.014517
386	6.007271	5.805335	6.007271	0.198941	0.636796	0.014445
387	5.721658	5.349031	5.721658	0.168991	0.706275	0.014372
388	5.726994	5.462431	5.726994	0.194559	0.620605	0.014301
389	9.298522	8.876934	9.298522	0.160663	1.216662	0.014229
390	5.710157	5.525257	5.710157	0.195729	0.617177	0.014158
391	7.159296	6.867321	7.159296	0.176972	0.844949	0.014087
392	7.383216	6.950110	7.383216	0.191742	0.807433	0.014017
393	11.413990	10.710555	11.413990	0.127591	1.872654	0.013947
394	4.779268	4.605719	4.779268	0.187813	0.535219	0.013877
395	9.358599	8.903126	9.358599	0.156166	1.256009	0.013808
396	4.194184	3.927135	4.194184	0.173719	0.514635	0.013739
397	5.928860	5.646917	5.928860	0.136345	0.906778	0.013670
398	4.786012	4.484882	4.786012	0.150766	0.663920	0.013601
399	3.452452	3.282346	3.452452	0.210012	0.348342	0.013533
400	9.714383	9.267973	9.714383	0.125273	1.610720	0.013466
401	6.471040	6.268395	6.471040	0.136090	0.992245	0.013398
402	6.184120	5.854680	6.184120	0.153588	0.841018	0.013331
403	8.158224	7.811052	8.158224	0.172679	0.995364	0.013265
404	10.572254	10.154156	10.572254	0.110100	1.986689	0.013199
405	9.197493	8.801867	9.197493	0.147628	1.314960	0.013133
406	5.854620	5.670611	5.854620	0.180813	0.682621	0.013067
407	7.945226	7.661344	7.945226	0.183716	0.906032	0.013002
408	8.920904	8.057550	8.920904	0.136469	1.377963	0.012937
409	7.824902	7.501627	7.824902	0.160534	1.031984	0.012872
410	6.960809	6.589158	6.960809	0.192764	0.767294	0.012807
411	5.431359	5.169250	5.431359	0.151564	0.755760	0.012743
412	7.801992	7.306455	7.801992	0.123759	1.304726	0.012680
413	8.158285	7.755012	8.158285	0.149900	1.128348	0.012616
414	7.649635	7.356602	7.649635	0.164590	0.987343	0.012553
415	8.330606	8.001359	8.330606	0.175001	1.002666	0.012490
416	6.215970	5.977743	6.215970	0.209006	0.636082	0.012428
417	8.310865	7.878300	8.310865	0.138668	1.252276	0.012366
418	6.654486	6.424292	6.654486	0.152548	0.911057	0.012304
419	4.976097	4.782439	4.976097	0.199306	0.526219	0.012243
420	5.868438	5.593501	5.868438	0.187302	0.669139	0.012181
421	7.479403	7.271135	7.479403	0.117487	1.323728	0.012120
422	2.997412	2.879265	2.997412	0.195585	0.324316	0.012060
423	5.783500	5.550879	5.783500	0.186871	0.643740	0.012000
424	6.092066	5.862242	6.092066	0.204687	0.637155	0.011940
425	7.978059	7.597208	7.978059	0.201861	0.830147	0.011880
426	9.369303	9.077058	9.369303	0.153526	1.281018	0.011820
427	6.856133	6.506720	6.856133	0.167572	0.859180	0.011761
428	9.412693	9.112856	9.412693	0.158821	1.250690	0.011702
429	8.871780	8.325430	8.871780	0.172073	1.081714	0.011644
430	5.837887	5.539779	5.837887	0.193576	0.627996	0.011586
